
B0f|350,1150
B0f|450,1150
B0f|450,1150
B0f|550,1150
B0f|650,1150
B0f|650,1150
B0f|750,1150
B0f|850,1150
B0f|950,1150
B0f|1050,1150
B0f|1150,1150
B0f|1250,1150
B0f|1350,1150
B0f|1450,1150
B0b|1550,1150
B0b|1650,1150
B0b|1750,1150
B0a|1850,1150
B0f|1950,1150
B0f|2050,1150
B0f|2150,1150
B0f|2250,1150
B0m|1250,650
B0l|1350,650
BWk|250,950
BWk|250,850
BWk|250,750
BWk|250,650
BWk|250,550
BWo|250,450
BWk|250,1050
B0h|250,1150
B0n|1850,1250
B0f|2350,1150
B0f|2450,1150
B0f|2550,1150
B0f|2650,1150
B0f|2650,1150
B0f|2750,1150
B0f|2850,1150
B0f|3150,1150
B0f|2950,1150
B0f|3050,1150
B0f|3250,1150
B0f|3350,1150
B0f|3450,1150
B0f|3550,1150
B0f|3550,1150
B0f|3650,1150
B0p|2250,950
B0p|2150,850
B0p|2050,950
B0n|2650,650
B0k|2650,550
B0o|2650,450
B0f|3750,1150
B0f|3850,1150
B0f|4250,1150
B0b|3950,1150
B0f|4150,1150
B0f|4050,1150
B0f|4350,1150
B0f|4450,1150
B0f|4650,1150
B0f|4650,1150
B0f|4850,1150
B0f|5050,1150
B0f|5150,1150
B0b|5350,1150
B0f|5550,1150
B0f|5650,1150
B0f|5750,1150
B0f|5950,1150
B0f|6050,1150
B0f|6450,1150
B0f|6450,1150
B0f|6650,1150
B0f|6950,1150
B0f|6950,1150
B0l|7350,1150
B0f|7150,1150
B0f|6750,1150
B0f|6550,1150
B0b|6350,1150
B0f|6050,1150
B0f|6050,1150
B0b|6350,1150
B0b|6350,1150
B0f|6150,1150
B0f|6150,1150
B0f|6250,1150
B0f|6450,1150
B0f|6750,1150
B0f|6750,1150
B0f|6950,1150
B0f|6950,1150
B0f|6850,1150
B0f|6950,1150
B0f|7050,1150
B0f|7150,1150
B0f|7250,1150
B0f|7250,1150
B0f|6450,1150
B0f|6050,1150
B0f|5950,1150
B0f|5850,1150
B0f|5450,1150
B0f|5250,1150
B0f|4950,1150
B0f|4750,1150
B0f|4650,1150
B0f|4550,1150
B0k|3950,1050
B0k|3950,950
B0o|3950,850
B0o|4350,450
B0k|4350,550
B0k|4350,650
B0n|4350,750
B0k|5350,1050
B0k|5350,1050
B0k|5350,950
B0k|5350,850
B0o|5350,750
B0o|5350,750
B0k|6350,1050
B0k|6350,950
B0k|6350,850
B0k|6350,750
B0o|6350,650
B0o|6350,650
B0n|6050,650
B0n|6350,150
B0o|6350,50
B0f|5950,250
B0f|5850,250
B0f|5750,250
B0f|5650,250
B0f|5650,250
B0f|5550,250
B0f|5450,250
B0f|5350,250
B0m|5150,250
B0m|5150,250
B0f|5250,250
BWk|6050,550
BWk|6050,450
BWk|6050,350
BWi|6050,250
B0p|750,450
S0t|1550,1050
S0t|1650,1050
S0t|1750,1050
S0t|1850,1050
