P0|1750,2150
W0|9050,2450
W0|12150,4450
W0|11850,4450
W0|6850,4750
W0|10450,7450
W0|10350,7450
M0|1250,1650
M0|1450,1550
M0|1650,1450
M0|1950,1350
M0|2150,1250
M0|2350,1050
M0|2650,950
M0|2850,750
M0|2950,550
M0|3250,450
M0|3350,450
M0|3650,250
M0|3850,50
M0|50,-950
M0|3942.63,-33.8411
M0|3988.58,-139.525
M0|4103.45,-222.235
M0|4195.35,-304.945
M0|4255.08,-401.439
M0|4402.12,-497.933
M0|4595.11,-612.808
M0|4705.39,-805.797
M0|4769.72,-952.836
M0|4884.6,-1086.09
M0|5013.25,-1210.15
M0|5123.53,-1320.43
M0|5311.93,-1439.9
M0|5504.92,-1596.13
M0|5682.12,-1698.23
M0|5815.38,-1817.7
M0|5937.56,-1991.42
M0|6024.86,-2152.25
M0|6121.35,-2331.45
M0|6231.63,-2483.09
M0|6337.32,-2597.96
M0|6433.81,-2745
M0|6585.45,-2850.69
M0|6695.73,-2993.13
M0|6815.2,-3181.52
M0|6881.54,-3280.85
M0|7033.17,-3400.32
M0|7253.73,-3721.97
M0|7171.02,-3515.2
M0|7428.34,-3869.01
M0|7483.48,-4062
M0|7625.92,-4094.16
M0|7731.61,-4245.8
M0|7929.19,-4429.6
M0|8122.18,-4526.09
M0|8140.56,-4663.94
M0|8333.55,-4806.38
M0|8521.94,-4893.69
M0|8678.17,-5036.13
M0|8875.75,-5178.58
M0|9026.22,-5353.13
M0|9228.39,-5546.12
M0|9141.09,-5426.65
M0|9425.98,-5716.13
M0|9329.48,-5642.61
M0|9559.23,-5867.77
M0|9656.91,-5994.08
M0|9776.38,-6164.09
M0|9863.69,-6283.56
M0|9969.37,-6471.96
M0|10070.5,-6577.64
M0|10222.1,-6766.03
M0|10304.8,-6894.69
M0|10465.6,-7055.52
M0|10640.2,-7211.75
M0|10732.1,-7390.95
M0|10897.6,-7675.84
M0|10819.4,-7579.34
